Tag A,Tag B,Similitud_Coseno_Prob_Topicos
Ley De Etiquetado,Unsam,0.859
Música,Palito Ortega,0.859
Democracia,Violencia Institucional,0.859
Nicaragua,Peronismo,0.859
Gordoodio,Laura Casabé,0.859
Fake News,Medios De Comunicación,0.859
Gordoodio,Terror,0.859
Adicciones,Madres De Plaza De Mayo,0.859
Claudia Sheinbaum,Randazzo,0.859
Bolivia,Colombia,0.859
Fallo Contra Cfk,Política,0.859
Elecciones Legislativas 2021,Horacio Rodríguez Larreta,0.859
Axel Kicillof,Kirchnerismo,0.859
Discursos Odio,Medios De Comunicación,0.859
Cuidados,Ni Una Menos,0.859
Axel Kicillof,Martín Guzmán,0.859
Lo Real Real,Patriarcado,0.859
Teatro,Zapping Cultural,0.859
Gordoodio,La Virgen De La Tosquera,0.859
Adolescencias,Territorio Educativo,0.859
Petróleo,Transición Energética,0.859
Daniel Ortega,Peronismo,0.859
Hbo,Pakapaka,0.859
El País,Ley Ómnibus,0.859
Anses,Leda-Unsam,0.859
Estados Unidos,Hegemonía,0.859
Santa Fe,Wado De Pedro,0.859
Comedores Comunitarios,Jubilados,0.858
Bahía Blanca,Depresión,0.858
Francia,Guayana Francesa,0.858
El Salvador,Javier Milei,0.858
A 20 Años Del 2001,Ecuador,0.858
Frente De Todos,Unión Por La Patria,0.858
Caparros,Gabriel García Márquez,0.858
Hijos De Represores,Maternidades,0.858
Crisis,Leda-Unsam,0.858
Fuerzas De Seguridad,G20,0.858
Ley Ómnibus,Peronismo,0.858
Breaking Bad,Globos De Oro,0.858
Nahir Galarza,Shakespeare,0.858
Comedores Comunitarios,Fascismo,0.858
Netflix,Premios Oscar,0.858
A 20 Años Del Estallido,Bolivia,0.858
Claudia Sheinbaum,Internacional,0.858
3J,Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,0.858
Anticomunismo,Xiomara Castro,0.858
Nancy Fraser,Ucr,0.858
Kirchnerismo,Martín Guzmán,0.858
Orgullo,Testimonios,0.858
Higui,Vínculos,0.858
Lesa Humanidad,Vialidad,0.858
Daniel Ortega,Patricia Bullrich,0.858
Comunicación Política,Lavagna,0.858
Crisis Climática,Recursos Naturales,0.858
#Anfibia10Años,Testosterona,0.858
Estallido En Chile,Perú,0.858
América Latina,Unsam,0.858
Literatura,Teatro,0.858
Comedores Comunitarios,Misiones,0.858
Feria Del Libro,La Cámpora,0.858
Asociación Del Fútbol Argentino,Juan Román Riquelme,0.858
#Blacklivesmatter,Racismo En Argentina,0.858
Perfil Político,Wado De Pedro,0.858
Fallo Contra Cfk,Nancy Fraser,0.858
Angela Merkel,Campo,0.858
Géneros,Tango,0.858
El Salvador,Nacionalismo,0.858
Géneros,Violencia De Género,0.858
Patricia Bullrich,Sergio Massa,0.858
3J,Lgbt,0.858
America Latina,Unsam,0.858
Agronegocios,Angela Merkel,0.858
Bukele,Cfk,0.858
El Salvador,Juan Grabois,0.858
24M: Día De La Memoria Por La Verdad Y La Justicia,Juicios De Lesa Humanidad,0.858
Nicaragua,Patricia Bullrich,0.858
Política,Violencia Institucional,0.858
Migración,Violencia Institucional,0.858
Caparros,Patrimonio Cultural,0.858
Basta Chicos,Pantallas,0.858
Gobernadores,Libertad,0.858
Better Call Saul,Globos De Oro,0.858
Amazon Prime,Cine,0.858
Marxismo,Nicaragua,0.858
Escuela De Política Y Gobierno,Santa Fe,0.858
Escuela De Política Y Gobierno,Silvina Batakis,0.858
Daniel Ortega,Marxismo,0.858
Angela Merkel,Retenciones,0.858
Anses,Crueldad,0.858
Internacional,Nicolas Maduro,0.858
Criptomonedas,Redes Sociales,0.858
Elecciones Legislativas 2021,Libertad,0.858
Juan Grabois,Tucumán,0.858
Cambio Climático,Energía Atómica,0.858
Anticomunismo,Honduras,0.858
Mediáticos,Pantallas,0.858
Nancy Fraser,Nicolas Maduro,0.858
Donald Trump,Elites,0.858
Archivo,Vih/Sida,0.858
Identidades No Binarias,Pedro Almodóvar,0.858
Jubilados,Ley Bases,0.858
Bolivia,Claudia Sheinbaum,0.858
Derechas,España,0.858
Derechos Sociales,Industria Textil,0.857
Crisis,Visibilidad Lésbica,0.857
Homofobia,Marielle Franco,0.857
Homofobia,Unsam,0.857
Nicolás Maduro,Violencia Cívica,0.857
Ecuador,Ucr,0.857
Ni Una Menos,Terf,0.857
Cepo,Derechos Sociales,0.857
Cepo,Politicas Económicas,0.857
Culturas,Tinder,0.857
Comunicación Política,Congreso,0.857
Alberto Fernández,Ley Bases,0.857
Ajuste,Cepo,0.857
Ajuste,Comedores Comunitarios,0.857
Ajuste,Industria Textil,0.857
Crisis,Homofobia,0.857
Comedores Comunitarios,Derechos Sociales,0.857
Luis Miguel,Netflix,0.857
Donald Trump,Elon Musk,0.857
A 20 Años Del 2001,Ciudad Futura,0.857
El Salvador,Giorgia Meloni,0.857
Claudia Sheinbaum,Giorgia Meloni,0.857
Cfk,Elecciones 2023,0.857
Carnaval,Urbanismo,0.857
Feminismos,Nahir Galarza,0.857
China,Nueva Ruta De La Seda,0.857
Leandro Santoro,Randazzo,0.857
A 20 Años Del 2001,Xiomara Castro,0.857
Comunicación Política,Sin Control 2,0.857
Marielle Franco,Visibilidad Lésbica,0.857
A 20 Años Del Estallido,Ciudad Futura,0.857
A 20 Años Del 2001,Nicolas Maduro,0.857
Ciudad Futura,Francia Márquez,0.857
Carnaval,Ciudades,0.857
Juntos Por El Cambio,Movilización,0.857
Citas,Culturas,0.857
Lgbt,Rosario,0.857
Crisis,Javier Milei,0.857
Bolivia,Seguridad,0.857
#Viajosola,Visual,0.857
A 20 Años Del 2001,Honduras,0.857
Feria Del Libro,Ficción,0.857
Elecciones 2023,Fascismo,0.857
El Salvador,Política,0.857
Lenguaje Inclusivo,Shakespeare,0.857
Comedores Comunitarios,Politicas Económicas,0.857
El Eternauta,Globos De Oro,0.857
Furia Travesti,Ni Una Menos,0.857
Patricia Bullrich,Perú,0.857
Deudas,Martín Guzmán,0.857
Cordobesismo,Martín Guzmán,0.857
Elecciones 2023,Ley Omnibus,0.857
Criptogate,Karina Milei,0.857
Cristina Fernández De Kirchner,Sin Control 2,0.857
Murgas,Urbanismo,0.857
Espionaje,Poder Judicial,0.857
Discursos De Odio,Escuela Idaes,0.857
Cumbia Villera,Vínculos,0.857
Alemania,Santa Fe,0.857
Festival Anfibio,Futuro Imperfecto Vol 3,0.857
Comedores Comunitarios,Paro General,0.857
Lavagna,Sergio Massa,0.857
Bloquons Tout,Comedores Comunitarios,0.857
Bloquons Tout,Industria Textil,0.857
Ciudades,Murgas,0.857
Bruno Stagnaro,Globos De Oro,0.857
Cancelación,Triple Femicidio,0.857
Chile,Especial Chile,0.857
Cancelación,Ni Una Menos,0.857
Bloquons Tout,Cepo,0.857
#Viajosola,Moda,0.857
#Niunamenos,3J,0.857
Terf,Triple Femicidio,0.857
Tecnoceno,Tecnologías,0.857
Furia Travesti,Triple Femicidio,0.857
Corrupción,Progresismo,0.857
Femicidio,Maternidades,0.857
Industria Textil,Politicas Económicas,0.857
Unsam,Visibilidad Lésbica,0.857
Cfk,Gobernadores,0.857
2001,Podcast,0.856
$Libra,Provincias,0.856
Shakespeare,Triple Femicidio,0.856
Corrupción,Patricia Bullrich,0.856
Desigualdad,Leda-Unsam,0.856
Crisis,Política,0.856
2001,Narcotráfico,0.856
Alberto Fernández,Unión Por La Patria,0.856
Oficialismo,Politica Exterior,0.856
Alemania,Elecciones 2023,0.856
Rigi,Transición Energética,0.856
Afjp,Javier Milei,0.856
Julián Kartun,Roberto Jacoby,0.856
Julia Mengolini,Política,0.856
Bruno Stagnaro,Campo De Mayo,0.856
América Latina,Escuela Idaes,0.856
Movimientos Sociales,Un Año De Milei,0.856
Escuela De Política Y Gobierno,Julia Mengolini,0.856
Fallo Contra Cfk,Karina Milei,0.856
Angela Merkel,Internacional,0.856
Roberto Jacoby,Soledad Pastorutti,0.856
Cosquín,Roberto Jacoby,0.856
Corrupción,Elecciones,0.856
Milo J,Roberto Jacoby,0.856
Campo De Mayo,El Eternauta,0.856
Congreso,Movilización,0.856
Federalismo,Política,0.856
Comunicación Política,Provincias,0.856
Escuela De Política Y Gobierno,Fake News,0.856
Dictadura,Rosariocronica,0.856
Paro General,Sergio Massa,0.856
Elecciones,Julia Mengolini,0.856
A 20 Años Del Estallido,Angela Merkel,0.856
A 20 Años Del 2001,Sergio Massa,0.856
Antipolítica,Perfil Político,0.856
Política,Santa Fe,0.856
Gas,Politica Exterior,0.856
Interseccionalidad,Randazzo,0.856
Gas,Hegemonía,0.856
Democracia,Escuela De Política Y Gobierno,0.856
A 20 Años Del Estallido,Liberalismo,0.856
Feminismo Negro,Randazzo,0.856
Estados Unidos,Nueva Ruta De La Seda,0.856
A 20 Años Del Estallido,Discapacidad,0.856
Anticomunismo,Hegemonía,0.856
Hegemonía,Oficialismo,0.856
Discursos Odio,Política,0.856
Murgas,San Martín,0.856
Criptogate,Manuel Adorni,0.856
Mex Urtizberea,Roberto Jacoby,0.856
Angela Merkel,Italia,0.856
Dólar,Martín Guzmán,0.856
Carnaval,San Martín,0.856
Literatura,Obra Pública,0.856
Claudia Sheinbaum,Derechas,0.856
Lito Vitale,Roberto Jacoby,0.856
Bolivia,Elecciones Legislativas 2021,0.856
Discursos Odio,Elecciones,0.856
Literatura,Puente Rosario Victoria,0.856
G20,Gustavo Petro,0.856
Cazzu,Roberto Jacoby,0.856
8M: Paro Internacional Y Plurinacional De Mujeres Y Disidencias,Femicidios,0.856
Fascismo,Perfil Político,0.856
España,Juan Román Riquelme,0.856
Atentado A Cristina,Política,0.856
Bolivia,Internacional,0.856
Bolivia,Marcos Peña,0.856
A 20 Años Del 2001,Juan Grabois,0.856
Archivo,Laboratorio De Periodismo Performático,0.856
Fuerzas De Seguridad,Revolución Federal,0.856
Gobernadores,Nacionalismo,0.856
Elecciones,Fake News,0.856
Fake News,Política,0.856
Alemania,Paso,0.856
Comunicación Política,Juan Grabois,0.856
Crisis,Gobierno,0.856
Pakapaka,Tecnologías De Género,0.856
Antipolítica,Ciudad Futura,0.856
Carlos Saúl Menem,Podcast,0.856
Liliana Herrero,Roberto Jacoby,0.856
Diego Maradona,Tenis,0.856
Falklore,Roberto Jacoby,0.856
Bosque,Caparros,0.856
Discursos Odio,Escuela De Política Y Gobierno,0.856
Internacional,Kamala Harris,0.855
Elecciones 2023,Llaryora,0.855
Internacional,Partido Demócrata,0.855
Pedro Pascal,Series,0.855
America Latina,Interseccionalidad,0.855
Batalla Cultural,Cristina Fernández De Kirchner,0.855
Batalla Cultural,Elecciones 2023,0.855
Boca Juniors,Mundial 2026,0.855
Libertad,Movilización,0.855
Movimientos Sociales,Protesta Social,0.855
America Latina,Feminismo Negro,0.855
Afjp,Crisis,0.855
Bukele,Piñera,0.855
América Latina,Perfil Político,0.855
Caparros,Luis Majul,0.855
Gabrielboric,Perú,0.855
Agronegocios,Axel Kicillof,0.855
2001,Fuerzas De Seguridad,0.855
Estallido En Chile,Gabrielboric,0.855
Hipersticion,Provincias,0.855
Crisis,Un Año De Milei,0.855
O Sea Digamos,Perfil Político,0.855
Violencia Policial,Violencias,0.855
Estallido En Chile,Irinakaramanos,0.855
Series,The Last Of Us,0.855
Corrupción,Hipersticion,0.855
Crónica,Filba,0.855
Masculinidades,Rugby,0.855
Elecciones 2023,Giorgia Meloni,0.855
Colombia,Progresismo,0.855
Política,Ucr,0.855
Eduardo Duhalde,Fotoperiodismo,0.855
Partido Republicano,Piñera,0.855
Italia,Izquierdas,0.855
A 20 Años Del Estallido,Alimentación,0.855
Congreso,Perfil Político,0.855
Irinakaramanos,Perú,0.855
Gustavo Petro,Liberalismo,0.855
Beca Cosecha Anfibia,Pensamiento Contemporáneo,0.855
Elecciones,Movimientos Sociales,0.855
Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,Encuesta De Qué Viven,0.855
Ecuador,El Salvador,0.855
Federalismo,Patricia Bullrich,0.855
Carlos Saúl Menem,Un Año De Milei,0.855
Capitalismo Digital,Plataformas,0.855
Cfk,Escuela De Política Y Gobierno,0.855
Donald Trump,Piñera,0.855
Fernando Báez Sosa,Juicios De Lesa Humanidad,0.855
A 20 Años Del Estallido,Derechas,0.855
Elecciones 2023,Pacto De Mayo,0.855
Clase Obrera,Derecho A La Desconexión,0.855
America Latina,Perfil Político,0.855
Crueldad,Perfil Político,0.855
Crimen De Odio,Lgbt,0.855
Criptogate,Elecciones 2023,0.855
Inflación,Sistema Bancario,0.855
Corrupción,Culturahype,0.855
Cupo Laboral Trans,Día Internacional De La Eliminación De La Violencia Contra Las Mujeres,0.855
Gendarmería,Trasplante De Órganos,0.855
Conurbano,Inquilinxs,0.855
Arte,Vih/Sida,0.855
A 20 Años Del 2001,Ley Bases,0.855
Comedores Comunitarios,Visibilidad Lésbica,0.855
Evo Morales,Izquierdas,0.855
Atentado A Cristina,Feminismo Negro,0.855
Alfabetismos Aumentados,Clase Obrera,0.855
Alemania,Silvina Batakis,0.855
Energía,Energía Nuclear,0.855
Comedores Comunitarios,Homofobia,0.855
Ambiente,Bahía Blanca,0.855
Frente De Izquierda,Kirchnerismo,0.855
Progresismo,Sin Control 2,0.855
Alberto Fernández,Comunicación Política,0.855
Botánica,Libros,0.855
Culturahype,Provincias,0.855
A 20 Años Del 2001,Giorgia Meloni,0.855
Alimentación,Crisis,0.855
Liberalismo,María Eugenia Vidal,0.855
Democracia,Seguridad,0.855
Axel Kicillof,Cordobesismo,0.855
Atentado A Cristina,Interseccionalidad,0.855
Axel Kicillof,Campo,0.855
Claudia Sheinbaum,Colombia,0.855
Nicolas Maduro,Surinam,0.855
8M,Menopausia,0.855
Axel Kicillof,Retenciones,0.855
Artlab,Trap,0.855
Axel Kicillof,Cfk,0.855
Gobierno,Transporte,0.855
Tecnología Y Sociedad,Terapias Alternativas,0.855
Ciudad Futura,Movimientos Sociales,0.855
Fascismo,Piñera,0.855
Caba,Marcos Peña,0.855
Caba,Política,0.855
#Niunamenos,Cuidados,0.855
Derechos Sociales,Inflación,0.854
Fascismo,Javier Milei,0.854
Libertarios,Política,0.854
El Salvador,Partido Republicano,0.854
Basta Chicos,Redes Sociales,0.854
Batalla Cultural,Elecciones,0.854
Bloquons Tout,Inflación,0.854
Comedores Comunitarios,Escuela Idaes,0.854
Randazzo,Xiomara Castro,0.854
Derechos Humanos,Patriarcado,0.854
24M: Día De La Memoria Por La Verdad Y La Justicia,Periodismo Narrativo,0.854
3J,Homofobia,0.854
3J,Visibilidad Lésbica,0.854
Ecuador,Kirchnerismo,0.854
Claudia Sheinbaum,Martín Guzmán,0.854
Ba,Bahía Blanca,0.854
Financiamiento Narco,Provincias,0.854
Clarín,Lesa Humanidad,0.854
Claudia Sheinbaum,Juntos Por El Cambio,0.854
Honduras,Randazzo,0.854
Crisis 2001,Unsam,0.854
Ajuste,Inflación,0.854
Casa Rosada,Futuro Imperfecto Vol 3,0.854
Frente De Todos,Pro,0.854
2001,Escuela Idaes,0.854
$Libra,Política Exterior,0.854
Estado,Transporte,0.854
$Libra,Elecciones 2023,0.854
Honduras,Perfil Político,0.854
Causa Andis,Provincias,0.854
Discursos Odio,Peronismo,0.854
Desigualdad,Transporte,0.854
Adorni,Carlos Saúl Menem,0.854
Elites,Nicolas Maduro,0.854
Frente De Todos,Movimientos Sociales,0.854
Alejandro Zambra,Pizarnik,0.854
Axel Kicillof,Llaryora,0.854
Desarrollo,Transgénicos,0.854
Democracia,Discapacidad,0.854
Feminismos,Lgbt,0.854
Identidades No Binarias,Ni Una Menos,0.854
Guerra De Aranceles,Sin Control 2,0.854
Fuerzas De Seguridad,Perfil Político,0.854
America Latina,Peronismo,0.854
Italia,Uruguay,0.854
Guayana Francesa,Guyana,0.854
Guerra De Aranceles,Javier Milei,0.854
Guerra De Aranceles,O Sea Digamos,0.854
Cupo Laboral Trans,Triple Femicidio,0.854
A 20 Años Del 2001,Antipolítica,0.854
Discapacidad,Ley De Etiquetado,0.854
America Latina,Campo,0.854
Encuesta De Qué Viven,Triple Femicidio,0.854
Hegemonía,Transporte,0.854
Fake News,Peronismo,0.854
Axel Kicillof,Pacto De Mayo,0.854
Martín Guzmán,Neoliberalismo,0.854
Piñera,Progresismo,0.854
Plataformas,Teletrabajo,0.854
Angela Merkel,Colombia,0.854
Cfk,Movilización,0.854
Perfil Político,Xiomara Castro,0.854
Adorni,Peronismo,0.854
Adorni,Política Exterior,0.854
Capitalismo,Capitalismo Digital,0.854
Elecciones,Ley Bases,0.854
Irinakaramanos,Jujuy,0.854
Anticomunismo,Política Exterior,0.854
Euphoria,Moria Casán,0.854
Inflación,Politicas Económicas,0.854
Deuda Externa,Fondos Buitre,0.854
Menopausia,Triple Femicidio,0.854
Adolescencias,Cárceles,0.854
Gabrielboric,Jujuy,0.854
Perfil Político,Unsam,0.854
Perfil Político,Unión Por La Patria,0.854
America Latina,Retenciones,0.854
Moria Casán,Zendaya,0.854
Mediáticos,Redes Sociales,0.854
Convención Constituyente,Partidos Políticos,0.854
Elecciones 2023,Frente De Izquierda,0.854
Julia Mengolini,Peronismo,0.854
Ley De Glaciares,Océanos,0.854
Agronegocios,America Latina,0.854
Canadá,Viajes,0.854
Cepo,Desigualdad,0.853
Estados Unidos,Unión Europea,0.853
Estados Unidos,Vladímir Putin,0.853
Daniel Ortega,Martín Guzmán,0.853
3J,Disidencias Sexuales,0.853
Fascismo,O Sea Digamos,0.853
Batalla Cultural,Liberalismo,0.853
Censo,Onlyfans,0.853
2001 | Unsam,Nancy Fraser,0.853
2001 | Unsam,Escuela Idaes,0.853
Colombia,Patricia Bullrich,0.853
Estados Unidos,Groenlandia,0.853
America Latina,Ecuador,0.853
Llaryora,Política Exterior,0.853
Hegemonía,Ley Bases,0.853
Claudia Sheinbaum,Fascismo,0.853
Gordoodio,Premios Oscar,0.853
Ambiente,Beca Crónica,0.853
Partidos Políticos,Plebiscito De Salida,0.853
Alquileres,Ciudades,0.853
Alquileres,Urbanismo,0.853
Francia Márquez,Internacional,0.853
Pacto De Mayo,Política Exterior,0.853
Encuentro Plurinacional De Mujeres,Lgbtiq+,0.853
Edad De Punibilidad,Justicia,0.853
Hijos De Represores,Juicio A Las Juntas,0.853
50 Años Del Golpe,Salud,0.853
Amazon Prime,The Last Of Us,0.853
Derechos Humanos,Fernando Báez Sosa,0.853
Amazon Prime,Pedro Pascal,0.853
Ambiente,Resistencia,0.853
Ambiente,Canal De Panamá,0.853
Ambiente,Desplazados,0.853
8M,Identidades No Binarias,0.853
Ba,Santiago Maldonado,0.853
Perfil Político,Pro,0.853
Martín Guzmán,Nicaragua,0.853
Identidad De Género,Onlyfans,0.853
Marcos Peña,Nacionalismo,0.853
Música,Música Electrónica,0.853
Iag,Tecnologías,0.853
Artlab,Música Electrónica,0.853
Javier Milei,Movilización,0.853
Anticomunismo,Julia Mengolini,0.853
Anticomunismo,Fake News,0.853
Bukele,Xiomara Castro,0.853
Anticomunismo,Discursos Odio,0.853
El País,Federalismo,0.853
Desigualdad,Industria Textil,0.853
Desigualdad,Hegemonía,0.853
Frente De Izquierda,Ucr,0.853
Angela Merkel,Gobernadores,0.853
Fmi,Martín Guzmán,0.853
América Latina,Bolivia,0.853
Cordobesismo,Nancy Fraser,0.853
Amor,Gordoodio,0.853
Bukele,Feminismo Negro,0.853
Bukele,Honduras,0.853
Bukele,Frente De Todos,0.853
Corrupción,Gobernadores,0.853
Misiones,Política,0.853
Justicia,Sistema Penal,0.853
Bukele,Interseccionalidad,0.853
Democracia,Santa Fe,0.853
Colombia,Elecciones,0.853
Alemania,Donald Trump,0.853
2001,Apropiación Cultural,0.853
#Niunamenos,Violencias,0.852
Alemania,Colombia,0.852
Orgullo,Vínculos,0.852
Ola Polar,Petróleo,0.852
Mauricio Macri,Perfil Político,0.852
Gustavo Petro,Santa Fe,0.852
Bolivia,Donald Trump,0.852
Globos De Oro,House Of The Dragon,0.852
2001 | Unsam,Homofobia,0.852
América Latina,Progresismo,0.852
Moda Y Medios,Tecnologías,0.852
América Latina,Surinam,0.852
Plástico,Testosterona,0.852
Femicidios,Pablo Lautra,0.852
Petróleo,Ypf,0.852
Femicidios,Varones Unidos,0.852
Cosas Que Funcionan,Santiago Maldonado,0.852
Cordobesismo,Patricia Bullrich,0.852
Bukele,Cristina Fernández De Kirchner,0.852
Cuidados,Encuentro Plurinacional De Mujeres,0.852
Cordobesismo,Francia Márquez,0.852
Dictadura,México,0.852
Abuelas De Plaza De Mayo,Periodismo Narrativo,0.852
Dictadura,Esma,0.852
Gobernadores,Santa Fe,0.852
Elon Musk,Estados Unidos,0.852
Estallido,Estallido En Chile,0.852
2001 | Unsam,Visibilidad Lésbica,0.852
Comedores Comunitarios,Ley Omnibus,0.852
Nicolas Maduro,Politica Exterior,0.852
Santa Fe,Seguridad,0.852
Denuncias,Femicidios,0.852
Francia Márquez,Sergio Massa,0.852
Discursos Odio,Javier Milei,0.852
Frente De Todos,Nacionalismo,0.852
Diego Maradona,Mundial 2026,0.852
Fake News,Javier Milei,0.852
Asociación Del Fútbol Argentino,Pelé,0.852
Elecciones,Elites,0.852
El Último Rincón De Sudamérica,Venezuela,0.852
Feria Del Libro,La Columna De Zambra,0.852
Elites,Feminismo Negro,0.852
Elites,Surinam,0.852
Democracia,Marcos Peña,0.852
7M,La Conversa,0.852
Frente De Izquierda,Giorgia Meloni,0.852
Doble Femicidio,Femicidios,0.852
Elites,Interseccionalidad,0.852
Nancy Fraser,Patricia Bullrich,0.852
Falsas Denuncias,Femicidios,0.852
Drogas,Migración,0.852
Claudia Sheinbaum,Donald Trump,0.852
Javier Milei,Julia Mengolini,0.852
Murgas,Violencia Narco,0.852
Gustavo Petro,Lavagna,0.852
Botánica,Gabriel García Márquez,0.852
Comunicación Política,Democracia,0.852
Antipolítica,Ucr,0.852
Izquierdas,Mauricio Macri,0.852
Bolivia,Unsam,0.852
Manuel Adorni,Victoria Villarruel,0.852
Marcos Peña,Silvina Batakis,0.852
Botánica,Patrimonio Cultural,0.852
Comunicación Política,Perfil Político,0.852
Game Of Thrones,Globos De Oro,0.852
Martín Guzmán,Provincias,0.852
Pelé,Tenis,0.852
Carnaval,Violencia Narco,0.852
Fascismo,Peronismo,0.852
Causa Andis,Pro,0.851
Batalla Cultural,Sergio Massa,0.851
Leda-Unsam,Neoliberalismo,0.851
Unsam,Violencia Institucional,0.851
Causa Andis,Libertarios,0.851
Alberto Fernández,Libertarios,0.851
Dillom,Palito Ortega,0.851
Financiamiento Narco,Libertarios,0.851
Financiamiento Narco,Pro,0.851
Gobernadores,Martín Guzmán,0.851
Alemania,España,0.851
Crisis 2001,Política,0.851
Javier Milei,Marcos Peña,0.851
Nancy Fraser,Unsam,0.851
Encuesta De Qué Viven,Visibilidad Lésbica,0.851
América Latina,Perú,0.851
Bukele,Fascismo,0.851
Game Of Thrones,Premios Oscar,0.851
Derechas,Jubilados,0.851
Deuda Externa,Silvina Batakis,0.851
Afectos,Sex And The City,0.851
Femicidios,Géneros,0.851
Premios Oscar,The Last Of Us,0.851
Discursos Odio,Sergio Massa,0.851
El País,Provincias,0.851
El País,Tucumán,0.851
Imaginarios,Moda Y Medios,0.851
Indio Solari,Redonditos De Ricota,0.851
Gabriela Mistral,La Transición En Chile,0.851
Anticomunismo,Lavagna,0.851
Escuela De Política Y Gobierno,Partido Republicano,0.851
España,Perfil Político,0.851
Crisis 2001,Discapacidad,0.851
Bolivia,Martín Guzmán,0.851
Estallido En Chile,Perfil Político,0.851
Espionaje,Julia Mengolini,0.851
Afectos,Amistad,0.851
Adorni,Fallo Contra Cfk,0.851
Plástico,Tecnoceno,0.851
Futuridades,Moda Y Medios,0.851
Espionaje,Fake News,0.851
